title,context,price,upload_date,location,status,imgUrl,url
아이폰12 블랙 128기가,"앞뒤 사설 교체, 그 뒤에 한번 떨어뜨렷더니 화면 저렇게 되었네요.. 다른 기능은 이상 없어요
페이스아이디 카메라 잘됨
배터리 기능 83퍼
네고 가능하니 연락 주세요",170000,2024.06.05,칠곡군 왜관읍,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/faaceddaaafb6deb58806654534a006afa622318f2abb4041bdc66e296639c25.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780870307
"
아이폰12프로 투명케이스 판매,"아이폰 12프로 투명케이스 4개입중 3개 판매해요
원가 8천 > 5천 판매",5000,2024.06.05,오산시 궐동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/ac33e6f9fae4cf293976c90feb76bda823bd7b0b5f2907628de19e00b5e5544d.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780870340
"
아이폰 14프로 256,"애플공식센터 가서 수리받고 잠깐 썼어요
배터리까지 싹 다 새로 갈았어요!!
기스, 흠집 전혀 없습니당
케이스티파이 케이스와 애플정품케이스 같이 드리고
새 케이스들도 많이 드려요
사용하지 않은 충전기도 드려서 풀박스입니다!
새필름도 있고 지금 붙어있는 필름도 이번에 새로 붙힌 필름입니다!",1150000,2024.06.05,남구 주월동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/1bae3651cdf3ea53674a3c30eac7d62868fed908860627d6602f3a7931fe1ace.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780870395
"
"급)아이폰15프로맥스 512 블랙 (미개봉,자급제)",직거래 합니다.,1700000,2024.06.05,남양주시 다산동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/205a1a592fb224fbde43e4782eb2058004e5d767bf6a0d7181bb1ed90d56321e.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780870402
"
아이폰 헬로키티 케이스 11pro max,"iPhone 11 pro max
헬로키티 젤리 케이스
원가 12400
사이즈를 잘못시켜서 판매합니다
궁금하신 거 물어보세요",8000,2024.06.05,양산시 양주동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/638198c509a4d48d447281a64d286ee8eb88699307979d7ab72bd62c57a54613.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780870532
"
아이폰13프로 128기가 블루 A급 판매합니다,핸드폰 외관깨끗하고 액정도 깨끗해요 필름 붙어있고 케이스 너무 더러워서 새거 구매해서 같이 드릴게요,670000,2024.06.05,청주시 상당구 중앙동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/480814fe452802795f8613525553210f225ca5f0873f762ae31f0c202df3cb6b_0.webp?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780870669
"
아이폰se1 오리지널 순정 일본판,"아이폰se1 32g 오리지널 순정 일본판
** IOS : 15.5
** 구성품 : 기기 단품
** 배터리 : 97%
** 부품 교환없는 원래의 오리지널 순정
** 스크린 : 들뜸, 녹테, 스크래치 없음
** 하우징 : 스크래치 없음
** Apple ID : off
** iCloud : off
** 보증기간 : 만료
** 자급제폰 (선택약정 할인 등 제한없음)
네고 문의에 응답하지 않습니다.",230000,2024.06.05,고양시 일산서구 탄현동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/899635fc16d1e3143e914f417f26446282bada05f794c288cae860844675bc5e.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780869798
"
아이폰SE3 스타라이트,"용랑 128GB
배터리87%
화면 앞,뒤쪽은 기스없이 깨끗함
상단 모서리부분과 테두리부분 약간 찍힘 있슴(사진참조)
직거래(용현5동)",240000,2024.06.05,미추홀구 용현5동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/490c61d57fc18ce4bbe56bb4ec6bc824637d424fb98d889d66e4bb0ec40d66f7_0.webp?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780869841
"
아이폰15 128 핑크,"출고가 1,243,000원
아이폰15 128 핑크 색상입니다.
2024년 2월 개통후 한번도 사용하지 않았습니다.
배터리 상태 100% 입니다.
박스 그대로 있으며 강화유리 필름을 붙여놓았고 케이스 포함
100만원에 판매합니다.",1000000,2024.06.05,천안시 서북구 성거읍,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/76d082613ceee781a77fbcb0c71bdc2dcfee54dc8bcb2256b07149bccd0add6f_0.webp?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780869937
"
아이폰14 A급,"배터리87%
깨끗하고 모듬 정상
새폰 사와서 싸게 판매합니다",520000,2024.06.05,부천시 심곡2동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/2536edde23d6d401d092f5b296824f402c3079b854c330970508776fd5e9a8e4.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780869994
"
